MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
30000,0.167594,4.850653,3.390190,-182.739258,-111.907959,28.137207,38.929688
30040,2.667141,1.757344,5.406107,122.528076,232.238770,-0.488281,38.917969
30080,1.106121,0.263362,4.472369,-7.965088,30.303955,-59.722900,38.910156
30120,-5.726931,11.851298,7.297527,-203.857422,5.493164,-165.161133,38.914062
30160,-9.074024,25.910051,-2.796427,160.614014,11.230469,113.525391,38.902344
30200,-5.238513,20.891804,-8.221688,-70.251465,160.461426,-10.498047,38.917969
30240,-2.762909,13.187263,-6.880936,-33.508301,118.652344,10.284424,38.904297
30280,-4.022259,6.555324,-2.260126,2.136230,43.029785,1.098633,38.919922
30320,-5.793968,0.670376,1.484405,-40.679932,29.632568,-6.805420,38.917969
30360,-5.851429,-2.154782,1.244985,-22.186279,-2.258301,17.913818,38.929688
30400,-3.873818,-2.073379,0.392649,42.846680,-76.171875,23.590088,38.917969
30440,-3.165135,0.718261,2.427721,-106.811523,-83.892822,12.756348,38.919922
30480,-11.262324,12.023681,5.343858,-15.991211,-42.663574,84.747314,38.916016
30520,-6.991069,28.026525,-4.314352,138.824463,-89.965820,-21.453857,38.921875
30560,-5.693412,18.301277,-7.062895,75.653076,-96.099854,7.965088,38.914062
30600,-2.379837,9.940725,-6.435614,81.970215,-104.492188,3.021240,38.917969
30640,0.507571,6.081272,-2.408567,53.314209,-84.808350,18.829346,38.914062
30680,0.311246,4.984728,2.839523,-190.856934,-124.633789,42.053223,38.917969
30720,2.513912,1.833959,5.377377,111.968994,206.817627,-11.016846,38.917969
30760,1.651999,-0.531513,2.600103,56.488037,69.885254,30.822754,38.904297
30800,-1.288081,3.830723,5.181053,-208.221436,-77.301025,-194.244385,38.896484
30840,-7.091625,24.310724,2.882619,88.562012,46.569824,105.224609,38.914062
30880,-5.066131,25.713726,-6.196194,22.766113,159.332275,-20.843506,38.908203
30920,-1.771709,15.734694,-9.409213,-28.167725,158.538818,-1.556396,38.923828
30960,-2.715025,8.590396,-5.142745,-15.319824,70.312500,-12.298584,38.910156
31000,-6.536170,2.992752,0.742203,-66.314697,-13.305664,-27.038574,38.908203
31040,-6.497863,-1.115698,2.533065,-23.010254,49.835205,-35.461426,38.900391
