MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
480,-9.686940,-0.062249,1.206678,-0.579834,-1.586914,-0.427246,31.189453
520,-9.725247,-0.009577,1.163582,-1.434326,-2.441406,-0.640869,31.201172
560,-9.763555,-0.023942,1.225831,-1.159668,-4.394531,-1.098633,31.201172
600,-9.821015,-0.043096,1.249773,-1.708984,-4.699707,-1.220703,31.201172
640,-9.782708,-0.028730,1.268927,-1.464844,-1.678467,-0.701904,31.195312
680,-9.734824,-0.028730,1.273715,-1.129150,-0.579834,-0.457764,31.212891
720,-9.773131,-0.052672,1.326388,-0.610352,-0.640869,-0.396729,31.207031
760,-9.816227,-0.033519,1.340753,-0.579834,-0.610352,-0.488281,31.191406
800,-9.797073,0.004788,1.302446,-0.366211,0.488281,-0.213623,31.191406
840,-9.758766,0.004788,1.288081,0.183105,0.732422,-0.122070,31.193359
880,-9.739613,-0.014365,1.312023,0.427246,0.701904,-0.183105,31.207031
920,-9.734824,-0.033519,1.345541,0.396729,-0.152588,-0.518799,31.207031
960,-9.749189,-0.038307,1.345541,0.518799,-0.366211,-0.457764,31.214844
1000,-9.730036,-0.004788,1.340753,1.068115,-0.549316,-0.305176,31.220703
1040,-9.744401,-0.009577,1.316811,0.885010,-1.342773,-0.427246,31.208984
1080,-9.773131,-0.033519,1.321599,0.640869,-1.159668,-0.427246,31.195312
1120,-9.768343,-0.043096,1.340753,0.335693,-1.708984,-0.457764,31.205078
1160,-9.720459,-0.033519,1.345541,-0.488281,-0.396729,-0.061035,31.216797
1200,-9.768343,-0.023942,1.307234,-0.396729,-0.854492,0.030518,31.234375
1240,-9.787497,-0.033519,1.302446,-0.274658,-0.244141,-0.061035,31.214844
1280,-9.763555,-0.052672,1.331176,-0.183105,-0.488281,-0.152588,31.201172
1320,-9.782708,-0.071826,1.345541,-0.305176,0.335693,-0.305176,31.212891
1360,-9.768343,-0.057461,1.335965,-0.457764,1.129150,-0.274658,31.220703
1400,-9.744401,-0.062249,1.316811,-0.335693,0.946045,-0.335693,31.234375
1440,-9.753978,-0.052672,1.331176,-0.244141,0.213623,-0.396729,31.214844
1480,-9.763555,-0.052672,1.331176,-0.213623,0.518799,-0.305176,31.228516
1520,-9.753978,-0.071826,1.321599,-0.457764,0.305176,-0.366211,31.240234
1560,-9.749189,-0.081403,1.312023,-0.640869,0.183105,-0.274658,31.242188
1600,-9.763555,-0.062249,1.307234,-0.640869,0.732422,-0.152588,31.218750
1640,-9.753978,-0.047884,1.316811,-0.762939,0.305176,-0.366211,31.216797
1680,-9.763555,-0.052672,1.297657,-0.335693,0.000000,-0.518799,31.244141
1720,-9.758766,-0.028730,1.302446,0.091553,0.610352,-0.366211,31.222656
1760,-9.730036,-0.047884,1.302446,-0.122070,0.000000,-0.579834,31.208984
1800,-9.725247,-0.071826,1.316811,0.000000,-0.152588,-0.579834,31.236328
1840,-9.777920,-0.090980,1.316811,-0.183105,0.549316,-0.152588,31.230469
1880,-9.782708,-0.038307,1.312023,0.152588,1.129150,-0.183105,31.232422
1920,-9.734824,-0.014365,1.292869,0.579834,0.305176,-0.488281,31.240234
1960,-9.758766,-0.038307,1.264138,1.007080,0.671387,-0.274658,31.236328
2000,-9.763555,-0.062249,1.259350,0.854492,-0.061035,-0.518799,31.230469
2040,-9.734824,-0.110133,1.268927,0.610352,-0.946045,-0.915527,31.236328
2080,-9.749189,-0.129287,1.259350,0.000000,-1.098633,-1.098633,31.234375
2120,-9.782708,-0.110133,1.244985,-0.244141,-0.946045,-0.854492,31.236328
2160,-9.792285,-0.095768,1.244985,-0.701904,0.000000,-0.671387,31.230469
