MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
680,3.241749,9.107543,0.373495,-7.537842,8.697510,0.183105,33.380859
720,3.485958,8.983045,0.478840,-12.756348,6.530762,0.213623,33.361328
760,3.792415,9.064447,0.512359,-14.739990,6.774902,-0.183105,33.361328
800,3.873818,9.356541,0.459687,-10.253906,12.634277,-1.098633,33.363281
840,3.768473,9.667787,0.363919,-1.739502,17.883301,0.518799,33.363281
880,3.734955,9.423578,0.344765,2.716064,21.453857,1.953125,33.382812
920,3.725378,8.872911,0.502782,0.579834,24.566650,-0.457764,33.359375
960,3.725378,8.877700,0.512359,-1.190186,26.428223,-2.655029,33.365234
1000,3.653552,9.174581,0.253785,2.624512,27.404785,-4.425049,33.373047
1040,3.849876,9.208099,0.158017,8.819580,28.045654,-4.547119,33.388672
1080,4.170700,9.165004,0.363919,13.214111,28.839111,-1.647949,33.369141
1120,4.141969,9.275137,0.454898,20.477295,28.686523,1.068115,33.392578
1160,3.787627,9.557653,0.263362,31.158447,32.897949,5.126953,33.394531
1200,3.318364,9.572019,0.339977,31.494141,36.956787,7.873535,33.380859
1240,3.327940,9.174581,0.756568,21.667480,37.597656,12.390137,33.386719
1280,3.131616,9.174581,0.895431,17.974854,39.215088,11.657715,33.392578
1320,2.863465,9.380483,0.818817,19.104004,41.259766,6.713867,33.373047
1360,2.968810,9.509769,0.521936,18.676758,39.886475,3.356934,33.400391
1400,3.165135,9.653421,0.229843,18.859863,39.154053,3.936768,33.408203
1440,3.174711,9.710882,0.067038,15.686035,37.841797,6.500244,33.414062
1480,3.074155,9.763555,0.057461,14.282227,35.980225,8.941650,33.406250
1520,3.011906,9.686940,0.158017,15.838623,40.344238,8.087158,33.396484
1560,3.026271,9.634268,0.201113,22.369385,47.637939,6.561279,33.406250
1600,3.064578,9.538500,0.210690,29.388428,55.969238,5.981445,33.400391
1640,2.863465,9.528923,-0.071826,29.266357,40.435791,2.471924,33.396484
1680,2.887407,9.567230,0.052672,29.479980,41.107178,-5.340576,33.416016
1720,2.935291,9.476251,0.110133,30.395508,41.198730,-8.453369,33.388672
1760,2.954445,9.136273,-0.129287,25.207520,43.060303,-10.681152,33.396484
1800,3.222595,8.983045,-0.641646,14.709473,45.379639,-10.742188,33.402344
1840,3.462016,9.016563,-0.933739,10.681152,42.663574,-9.094238,33.414062
1880,3.313575,9.040505,-0.833182,9.338379,39.123535,-8.728027,33.421875
1920,2.983175,8.801085,-0.742203,7.232666,28.961182,-7.263184,33.423828
1960,2.959233,8.815451,-0.833182,2.319336,21.759033,-8.911133,33.410156
2000,3.136404,9.212888,-0.924162,1.007080,17.272949,-7.843018,33.400391
2040,3.251326,9.624691,-1.096544,3.936768,13.122559,-3.845215,33.414062
2080,3.299210,9.514558,-1.221043,4.455566,4.455566,2.807617,33.439453
2120,3.414132,8.963891,-1.249773,3.265381,-1.220703,11.169434,33.412109
2160,3.394978,8.719683,-1.364695,-11.901855,-4.974365,14.892578,33.445312
2200,3.342306,9.394848,-0.919373,-13.580322,-6.622314,9.735107,33.421875
2240,2.858677,10.314221,-0.148441,6.378174,-6.103516,7.995605,33.425781
2280,2.303222,10.156203,-0.478840,10.284424,-2.960205,9.094238,33.421875
2320,2.786851,9.514558,-0.536301,-2.807617,16.723633,9.796143,33.416016
2360,3.131616,9.150639,0.306458,0.518799,26.641846,9.002686,33.437500
2400,3.059790,8.585608,1.058237,-2.105713,24.749756,3.692627,33.449219
2440,3.299210,8.293514,1.321599,-11.474609,26.550293,-2.258301,33.437500
2480,3.782839,8.781932,1.144428,-14.862061,23.834229,-6.683350,33.433594
2520,3.892972,9.581595,0.866701,-3.479004,28.778076,-7.995605,33.437500
2560,3.912126,9.806650,0.881066,1.800537,53.222656,-2.258301,33.429688
2600,3.782839,9.150639,0.866701,-0.793457,62.194824,2.838135,33.427734
2640,3.562572,8.556877,0.952892,0.366211,66.986084,0.427246,33.429688
2680,3.620033,8.580819,0.924162,-0.762939,69.213867,-4.882812,33.492188
2720,3.916914,9.059659,0.512359,4.547119,72.509766,-6.347656,33.503906
2760,4.333505,9.246407,0.215478,15.045166,74.737549,-0.122070,33.494141
2800,5.008670,9.016563,0.521936,24.536133,70.404053,9.429932,33.511719
2840,5.128380,8.690952,0.766145,39.306641,61.950684,15.228271,33.501953
2880,3.979163,9.725247,1.905785,37.536621,56.732178,10.131836,33.515625
2920,3.749320,11.271901,2.231396,35.766602,49.560547,12.023926,33.511719
2960,2.882619,10.970232,2.351106,34.637451,56.213379,7.202148,33.505859
3000,1.441309,9.198523,1.498770,27.893066,55.664062,-3.326416,33.486328
3040,1.589750,8.451532,0.407014,4.241943,40.008545,-7.354736,33.533203
3080,3.021482,9.653421,0.119710,-4.028320,27.191162,-7.385254,33.527344
3120,3.299210,10.122684,0.397437,9.277344,31.524658,-4.577637,33.527344
3160,2.226608,9.461885,0.502782,21.087646,29.937744,-6.286621,33.537109
3200,1.608904,8.638280,0.354342,11.444092,29.968262,-3.784180,33.535156
3240,1.877054,8.738836,0.378284,5.187988,29.968262,-5.706787,33.537109
3280,2.221819,9.102755,0.512359,1.953125,30.151367,-7.659912,33.531250
3320,2.111686,9.543288,0.478840,0.152588,39.611816,-6.134033,33.517578
3360,1.848324,10.002975,0.387861,13.214111,52.581787,-5.218506,33.544922
3400,2.078167,9.993398,0.397437,16.113281,60.363770,0.152588,33.517578
3440,2.810793,9.581595,0.043096,14.007568,49.316406,0.671387,33.537109
3480,3.145981,9.040505,-0.292093,15.533447,35.217285,3.814697,33.535156
3520,3.452439,8.844181,-0.454898,8.972168,28.015137,9.887695,33.535156
3560,3.730166,9.222465,-0.632069,13.641357,17.150879,10.803223,33.525391
3600,3.955221,9.466674,-1.000776,7.629395,-0.122070,12.908936,33.521484
3640,4.098873,9.648633,-1.106121,8.056641,-13.946533,19.531250,33.531250
3680,4.036624,11.085154,0.560243,-11.383057,6.988525,5.401611,33.537109
3720,3.059790,11.214440,1.240196,7.781982,-6.469727,3.417969,33.544922
3760,1.939303,8.848969,0.794875,6.286621,-24.169922,12.603760,33.527344
3800,2.451663,8.676587,1.168370,-20.446777,-27.465820,14.862061,33.531250
3840,3.462016,10.218452,0.818817,-13.153076,-4.272461,11.718750,33.564453
3880,3.787627,9.787497,0.454898,8.453369,-8.636475,13.244629,33.546875
3920,3.519476,8.475474,0.497994,-1.678467,0.152588,11.932373,33.507812
3960,2.968810,7.867347,0.344765,-10.009766,2.044678,5.035400,33.550781
4000,3.232172,7.967903,-0.043096,-12.512207,-1.007080,0.152588,33.556641
4040,3.864242,8.327033,-0.033519,-14.129639,-0.152588,-4.150391,33.560547
4080,3.773262,8.231265,0.076614,-11.474609,5.981445,-6.652832,33.558594
4120,3.524265,8.370130,0.359130,-8.026123,12.512207,-2.288818,33.535156
4160,3.835511,9.289502,0.622492,-6.561279,21.179199,4.516602,33.566406
4200,5.123591,10.414778,0.497994,-0.946045,24.047852,5.371094,33.541016
4240,6.459556,11.420342,1.254562,-22.308350,11.474609,2.807617,33.548828
4280,6.588843,12.406754,1.398214,5.462646,6.347656,8.972168,33.548828
4320,4.568137,11.051635,1.747767,44.921875,-6.744385,13.122559,33.568359
